"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"261","Adafruit Industries LLC","1528-1126-ND","","","Bulk","Active","1","0.75000","$0.75","7309","13 Weeks","CABLE ASSY JST PH 2PIN 4""","Vendor undefined","Not applicable","Not Available"
"06035A160JAT2A","AVX Corporation","478-10292-1-ND","","C7 C8","Cut Tape (CT)","Active","2","0.19000","$0.38","2889","18 Weeks","CAP CER 16PF 50V NP0 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10A105KA8NNNC","Samsung Electro-Mechanics","1276-1102-1-ND","","C4 C5 C6 C9","Cut Tape (CT)","Active","4","0.10000","$0.40","2403606","28 Weeks","CAP CER 1UF 25V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10B104KB8NNNC","Samsung Electro-Mechanics","1276-1000-1-ND","","C10 C11 C12","Cut Tape (CT)","Active","3","0.10000","$0.30","13216366","28 Weeks","CAP CER 0.1UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21A475KOFNNNE","Samsung Electro-Mechanics","1276-1065-2-ND","","C1","Tape & Reel (TR)","Active","1","0.00000","$0.00","592045","28 Weeks","CAP CER 4.7UF 16V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B103KBANNNC","Samsung Electro-Mechanics","1276-1015-2-ND","","C3","Tape & Reel (TR)","Active","1","0.00000","$0.00","988771","28 Weeks","CAP CER 10000PF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B104KACNNNC","Samsung Electro-Mechanics","1276-1099-2-ND","","C2","Tape & Reel (TR)","Active","1","0.00000","$0.00","261396","28 Weeks","CAP CER 0.1UF 25V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"150080GS75000","Würth Elektronik","732-4983-2-ND","","D1","Tape & Reel (TR)","Active","1","0.00000","$0.00","69065","10 Weeks","LED GREEN CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"10103594-0001LF","Amphenol ICC (FCI)","609-4050-2-ND","","J1","Tape & Reel (TR)","Active","1","0.00000","$0.00","91414","14 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","RoHS Compliant","Lead free","REACH Unaffected"
"FFC3B07-30-T","GCT","2073-FFC3B07-30-TTR-ND","","J2","Tape & Reel (TR)","Active","1","0.00000","$0.00","2404","12 Weeks","30W, 1.0MM FFC CONN, R/A,BOT CON","ROHS3 Compliant","Lead free","Not Available"
